Battle Tag,Total Points,Player Region,Points,Earned Summary
muzzy,79,Americas,6,Earned from placing 9 in DreamHack HCT Grand Prix Summer 2018 in Europe. This tournament
muzzy,79,Americas,10,Earned from placing 6 in 2018 Season 1 Seasonal Playoffs Americas in Americas. This tournament
muzzy,79,Americas,8,Earned from placing 5 in HCT Italy 2018 in Europe. This tournament was a HCT Tour Stop and
muzzy,79,Americas,4,Earned from placing 29 in DreamHack HCT Grand Prix Austin 2018 in Europe. This tournament
muzzy,79,Americas,15,Earned from placing 1 in Coppa America 2 Tour Stop in Americas. This tournament was a HCT
muzzy,79,Americas,15,Earned from Legend Ranking 9 in Asia-Pacific from JUNE of 2018
muzzy,79,Americas,9,Earned from Legend Ranking 87 in Asia-Pacific from APRIL of 2018
muzzy,79,Americas,12,Earned from Legend Ranking 26 in Asia-Pacific from MAY of 2018
hunterace,75,Europe,15,Earned from placing 1 in HCT Seoul 2018 in Asia-Pacific. This tournament was a HCT Tour Stop
hunterace,75,Europe,15,Earned from placing 1 in HCT Italy 2018 in Europe. This tournament was a HCT Tour Stop and
hunterace,75,Europe,15,Earned from Legend Ranking 4 in Americas from MAY of 2018
hunterace,75,Europe,15,Earned from Legend Ranking 24 in Europe from JUNE of 2018
hunterace,75,Europe,15,Earned from Legend Ranking 15 in Americas from APRIL of 2018
BoarControl,69,Europe,6,Earned from placing 9 in DreamHack HCT Grand Prix Summer 2018 in Europe. This tournament
BoarControl,69,Europe,6,Earned from placing 9 in DreamHack HCT Grand Prix Austin 2018 in Europe. This tournament was
BoarControl,69,Europe,6,Earned from placing 27 in 2018 Season 1 Seasonal Playoffs Eurpoe in Europe. This tournament
BoarControl,69,Europe,12,Earned from placing 2 in Coppa America 2 Tour Stop in Americas. This tournament was a HCT
BoarControl,69,Europe,9,Earned from Legend Ranking 89 in Asia-Pacific from APRIL of 2018
BoarControl,69,Europe,15,Earned from Legend Ranking 18 in Europe from MAY of 2018
BoarControl,69,Europe,15,Earned from Legend Ranking 10 in Asia-Pacific from JUNE of 2018
